Date,long_ret,short_ret,cum_ret,equity,drawdown,long_pnl,short_pnl
2025-07-07,-0.0072111604430742555,0.0013705292450579575,-0.0058406311980162984,0.8855450507985416,-0.10093595122709464,0.9796682155829297,0.893132553957814
2025-07-08,0.005861113702918896,0.0017979970032724806,0.007659110706191376,0.8923275383779276,-0.09404992014558622,0.985410162385597,0.8947384036133552
2025-07-09,-0.008035557470002074,-0.0013547006604502088,-0.009390258130452283,0.8839483524556477,-0.10255702524872301,0.9774918423942235,0.8935263009070501
2025-07-10,0.0028627409942581098,-0.0028237833561963305,3.895763806177925e-05,0.883982788995628,-0.10252206299013167,0.9802901483629983,0.8910031762102251
2025-07-11,0.002807965032780332,-0.006055192525000022,-0.0032472274922196896,0.8811122957805523,-0.10519779463584611,0.9830427688215807,0.8856079804378857
2025-07-14,0.0043040944030742325,-0.005124918414595205,-0.0008208240115209729,0.8803890576513292,-0.09972918547468812,0.9872738777008484,0.8810693117908271
2025-07-15,0.004895999744507613,-0.0046216804047092795,0.00027431933979833387,0.8806305653963897,-0.09948222377920801,0.9921075703538309,0.8769972910173328
2025-07-16,-0.0023602918928260826,-0.0008664142384362664,-0.0032267061312623493,0.8777890293516483,-0.10238793000905022,0.9897659068987134,0.8762374480773254
2025-07-17,0.005090716542930681,-0.006054844653203745,-0.000964128110273064,0.8769427282735611,-0.10325334303784883,0.9948045245745913,0.8709319664498976
2025-07-18,0.010695836585108826,-0.018572674437961772,-0.007876837852852946,0.8700351925967118,-0.11031687104982768,1.005444791203568,0.8547564305794098
2025-07-21,-0.0002665848149757577,-0.005430667000901485,-0.005697251815877243,0.8650783830158131,-0.1153856198717943,1.0051767548899366,0.8501145330380538
2025-07-22,0.002570435410146698,-0.004250819903298105,-0.001680384493151407,0.8636247187156327,-0.11687211215858062,1.0077604968141622,0.8465008492609327
2025-07-23,0.004164492556238169,-0.007654720928665067,-0.003490228372426898,0.8606104712192423,-0.11995443016920615,1.0119573079016155,0.8400211214939624
2025-07-24,-0.000640426480051443,-0.0006100827195569731,-0.001250509199608416,0.8595342699077032,-0.12105493525035427,1.0113092236449537,0.839508639123676
2025-07-25,0.0016328259152796779,0.0033691309549911844,0.005001956870270862,0.8638336232543012,-0.11665848994513917,1.0129605155536825,0.8423370536667302
2025-07-28,-0.0031164584331156812,0.005326895399753758,0.0022104369666380765,0.8657430730281674,-0.11470591921714801,1.009803666212572,0.8468240950429496
2025-07-29,-0.003372519699626124,0.005032712461464351,0.001660192761838227,0.8671803734116205,-0.10912888175908775,1.0063980834555153,0.8510859172187406
2025-07-30,0.0017422016076317631,-0.0005377485318001053,0.0012044530758316579,0.868224851479677,-0.10805586930055289,1.0081514318144291,0.8506282470163204
2025-07-31,-0.006300825394604762,0.008104096423691502,0.0018032710290867395,0.8697904962010834,-0.10390342763129512,1.0017992456712457,0.8575218203508564
2025-08-01,-0.005053006266517887,0.0032185985671964127,-0.0018344076993214746,0.8681949458180555,-0.10465624048874866,0.996737147805076,0.8602818388531773
2025-08-04,-0.0004188023548712316,-0.001354979901508156,-0.0017737822563793876,0.8666549570280851,-0.10361805187453166,0.9963197119403876,0.8591161742518988
